lap,name,position,total_time,gap,tyre,fuel,dnf,pit_stops
30,Verstappen,1,3445.498,10.22,100,12,False,2
30,Tsunoda,10,3467.048,31.769,92,13,False,2
30,Leclerc,3,3439.073,3.795,86,4,False,2
30,Hamilton,2,0,0,0,28,False,0
30,Norris,3,0,0,0,38,False,0
30,Piastri,3,0,0,0,40,False,0
30,Russell,5,0,0,0,44,False,0
30,Antonelli,5,3456.931,21.652,89,8,False,2
30,Alonso,3,5,5,0,60,False,0
30,Stroll,4,3,3,0,60,False,0
30,Gasly,4,0,0,0,38,False,0
30,Colapinto,9,3466.214,30.936,93,7,False,2
30,Ocon,7,0,0,0,37,False,0
30,Bearman,8,3464.248,28.97,93,6,False,2
30,Hadjar,7,3462.09,26.812,91,1,False,2
30,Lawson,2,3435.278,0.0,43,12,False,1
30,Albon,2,0,0,0,33,False,0
30,Sainz,4,3445.87,10.591,93,10,False,2
30,Hulkenberg,5,3,3,0,60,False,0
30,Bortoleto,6,3447.763,12.485,32,17,False,1
